CO_PROVA;CO_POSICAO;enunciado;alternativa_A;alternativa_B;alternativa_C;alternativa_D;alternativa_E;gabarito;TP_LINGUA;NU_PARAM_B
1395;20;"Sempre passo nervoso quando leio minha crônica neste jornal e percebo que escapuliu a palavra ""coisa"" em alguma frase. Acontece que ""coisa"" está entre as coisas mais deliciosas do mundo. O primeiro banho da minha filha foi embalado pela minha voz dizendo, ao fundo, ""cuidado, ela ainda é uma coisinha tão pequena"". ""Viu só que amor? Nunca vi coisa assim"". O amor que não dá conta de explicação é ""a coisa"" em seu esplendor e excelência. ""Alguma coisa acontece no meu coração"" é a frase mais bonita que alguém já disse sobre São Paulo. E quando Caetano, citado aqui pela terceira vez pra defender a dimensão poética da coisa, diz ""coisa linda"", nós sabemos que nenhuma palavra definiria de forma mais profunda e literária o quão bela e amada uma coisa pode ser. ""Coisar"" é verbo de quem está com pressa ou tem lapsos de memória. É pra quando ""mexe qualquer coisa dentro doida"". E que coisa magnífica poder se expressar tal qual Caetano Veloso. Agora chega, porque ""esse papo já tá qualquer coisa"" e eu já tô ""pra lá de Marrakech"". TATI BERNARDI. Disponível em: www1.folha.uol.com.br. Acesso em: 3 jan. 2024 (adaptado). O recurso utilizado na progressão textual para garantir a unidade temática dessa crônica é a";intertextualidade, marcada pela citação de versos de letras de canções.;metalinguagem, marcada pela referência à sua escrita de crônicas pela autora.;reiteração, marcada pela repetição de uma determinada palavra e de seus cognatos.;"conexão, marcada pela presença dos conectores lógicos ""quando"" e ""porque"" entre orações.";"pronominalização, marcada pela retomada de ""minha filha"" e ""um namorado ruim"" pelos pronomes ""ela"" e ""lo"".";C;;0.33346
1395;21;"TEXTO I A linguagem visual dos adornos transmite informações sobre prestígio e transgressão, direito e dever, pois só é permitido ao indivíduo o uso de adornos de sua linhagem. Quando diretamente vinculadas aos conceitos cosmológicos, as artes indígenas convertem-se antes em prismas que refletem as concepções acerca da composição do universo e dos componentes que o povoam. AGUILAR, N. (Org.); DIAS, J. A. B. F; VELTHEN, L. H. V. Mostra do redescobrimento : artes indígenas. São Paulo: Fundação Bienal de São Paulo-Associação Brasil 500 anos, 2000 (adaptado). TEXTO II Disponível em: www.maimuseu.com.br. Acesso em: 11 jul. 2024. Pela leitura desses textos, infere-se que a compreensão da arte plumária indígena requer a consideração da";indistinção hierárquica entre os membros de um mesmo grupo social.;prevalência dos elementos do mundo natural sobre as relações humanas.;reconfiguração constante das representações coletivas acerca do universo.;indeterminação entre as noções de identidade individual e de identidade cultural.;indissociabilidade entre objetos ritualísticos e os papéis dos indivíduos na comunidade.;E;;135497,00
1395;22;TEXTO I Capítulo 4, versículo 3 Minha palavra vale um tiro, eu tenho muita munição Na queda ou na ascensão, minha atitude vai além E tem disposição pro mal e pro bem Talvez eu seja um sádico ou um anjo, um mágico Ou juiz, ou réu, o bandido do céu Malandro ou otário, quase sanguinário Franco atirador se for necessário Revolucionário, insano, ou marginal Antigo ou moderno, imortal Fronteira do céu com o inferno Astral imprevisível, como um ataque cardíaco do verso. RACIONAIS MCs. Sobrevivendo ao inferno . São Paulo: Cosa Nostra, 1997 (fragmento). TEXTO II Pode-se dizer que as várias experiências narradas nos discos do Racionais tratam no fundo de um só tema: a violência que estrutura a nossa sociedade. O grupo canta a violência que estrutura as relações entre os familiares, os amigos, o homem e a mulher, o traficante e o viciado. Canta a violência do crime. A violência causada por inveja ou por vaidade. Também canta que a relação entre as classes sociais é sempre violenta: o racismo, a miséria, os baixos salários, a concentração de renda, a esmola, a publicidade, o alcoolismo, o jornalismo, o poder policial, a justiça, o sistema penitenciário, o governo existem por meio da violência. GARCIA, W. Ouvindo Racionais MCs. Teresa: revista de literatura brasileira, n. 5, 2004 (adaptado). Na letra da canção, a tematização da violência mencionada no Texto II manifesta-se;como metáfora da desigualdade, que associa a ideia de justiça a valores históricos negativos.;na referência a termos bélicos, que sinaliza uma crítica social à opressão da população das periferias.;como procedimento metalinguístico, que concebe a palavra como uma forma de combate e insubordinação.;nas definições ambíguas do enunciador, que inverte e relativiza as representações da maldade e da bondade.;na menção à imortalidade, que sugere a possibilidade de resistência para além da dicotomia entre vida e morte.;C;;181798,00
1395;23;As reações à sétima temporada foram o ápice do último estágio em Game of Thrones . De forma alguma, este que vos fala seria capaz de argumentar que a série é perfeita, mas os defeitos que existem aqui sempre existiram, de uma forma ou de outra, durante os sete anos em que ela esteve no ar. Os dois roteiristas foram brilhantes em traduzir os personagens intrincados e conflituosos da obra de George R. R. Martin, mas nunca souberam exatamente como fazer jus a ele (e especialmente a elas, as mulheres da trama). A verdade é que, com tudo isso e mais Ramin Djawadi evocando sentimentos e ambientes improváveis com sua trilha sonora magistral, a série não conseguiria ser ruim nem se tentasse, mas continua sendo uma pena que, ao buscar o seu final com tanta sede e tanta celebridade, Benioff e Weiss tenham tirado sua qualidade mais preciosa: o fôlego, a paciência e o detalhismo que faziam suas palavras se levantarem do papel e ganharem vida. Disponível em: https://observatoriodocinema.uol.com.br. Acesso em: 29 nov. 2017 (adaptado). Ainda que faça uma avaliação positiva da série, nessa resenha, o autor aponta aspectos negativos da obra ao utilizar;marcas de impessoalidade que disfarçam a opinião do especialista.;expressões adversativas para fazer ressalvas às afirmações elogiosas.;interlocução com o leitor para corroborar opiniões contrárias à adaptação.;eufemismos que minimizam as críticas feitas à construção das personagens.;antíteses que opõem a fragilidade do roteiro à beleza da trilha sonora da série.;B;;0.87601
1395;24;– Vá para o inferno, Gondim. Você acanalhou o troço. Está pernóstico, está safado, está idiota. Há lá ninguém que fale dessa forma! Azevedo Gondim apagou o sorriso, engoliu em seco, apanhou os cacos da sua pequenina vaidade e replicou amuado que um artista não pode escrever como fala. – Não pode? – perguntei com assombro. E por quê? Azevedo Gondim respondeu que não pode porque não pode. – Foi assim que sempre se fez. A literatura é a literatura, seu Paulo. A gente discute, briga, trata de negócios naturalmente, mas arranjar palavras com tinta é outra coisa. Se eu fosse escrever como falo, ninguém me lia. RAMOS, G. São Bernardo. Rio de Janeiro: Record, 2009. Nesse fragmento, a discussão dos personagens traz à cena um debate acerca da escrita que;diferencia a produção artística do registro padrão da língua.;aproxima a literatura de dialetos sociais de pouco prestígio.;defende a relação entre a fala e o estilo literário de um autor.;contrapõe o preciosismo linguístico a situações de coloquialidade.;associa o uso da norma culta à ocorrência de desentendimentos pessoais.;D;;134885,00
1395;25;VISCONTI, E. Três meninas no jardim . Óleo sobre tela, 81 x 65 cm. Museu Nacional de Belas Artes. Rio de Janeiro, 1935. Disponível em: www.eliseuvisconti.com.br. Acesso em: 18 set. 2012. Eliseu D'Angelo Visconti (1866-1944) desenvolveu diversas obras no Brasil, com grande influência das escolas europeias. Em sua pintura Três meninas no jardim , há;culto à fluidez e ao progresso, nos moldes no ideário futurista.;valorização de formas decompostas, a exemplo do estilo cubista.;efeitos fugazes de luz e movimento, que remetem à estética impressionista.;expressão do sonho e do inconsciente, que dialoga com a proposta surrealista.;tematização de elementos cotidianos, que resgata modelos de representação da arte realista.;C;;116464,00
1395;26;"Por trás do universo “masculino” das lutas, é cada vez mais notório o aumento da participação de mulheres nessa prática corporal. Algumas situações reforçam esse fenômeno de ocupação em ambientes de lutas: a inclusão de mulheres em combates de artes marciais mistas, ou MMA, a transmissão televisiva de lutas de mulheres e a criação de horários específicos para elas em academias que ensinam lutas. Uma pesquisa científica mostrou menor participação e mobilização das meninas em comparação com os meninos nas aulas de Educação Física. Entre as justificativas discentes para essa situação está o fato de que eles relacionam a luta como uma expressão corporal masculina e, por consequência, não adequada aos interesses femininos. Dessa forma, o ensino de lutas nas aulas de Educação Física é atravessado por tensões relacionadas às questões de gênero e sexualidade, o que, por sua vez, pode favorecer a sua exclusão do conteúdo próprio da disciplina. SO, M. R.; MARTINS, M. Z.; BETTI, M. As relações das meninas com os saberes das lutas nas aulas de Educação Física. Motrivivência , n. 56, dez. 2018 (adaptado) Segundo o texto, apesar do aumento da participação de mulheres em lutas, a realidade na escola ainda é diferente em razão do(a)";esportivização desse conteúdo.;masculinização dessa modalidade.;enfoque desses eventos pela mídia.;trato pedagógico dessa manifestação.;marginalização desse tema pela Educação Física.;B;;-0.37854
1395;27;Volta e meia recebo cartinhas de fãs, e alguns são bem jovens, contando como meu trabalho com a música mudou a vida deles. Fico no céu lendo essas coisas e me emociono quando escrevem que não são aceitos pelos pais por serem diferentes, e como minhas músicas são uma companhia e os libertam nessas horas de solidão. Sinto que é mais complicado ser jovem hoje, já que nunca tivemos essa superpopulação no planeta: haja competitividade, culto à beleza, ter filho ou não, estudar, ralar para arranjar trabalho, ser mal remunerado, ser bombardeado com trocentas informações, lavagens cerebrais... Queria dar beijinhos e carinhos sem ter fim nessa moçada e dizer a ela que a barra é pesada mesmo, mas que a juventude está a seu favor e, de repente, a maré de tempestade muda. Diria também um monte de clichê: que vale a pena estudar mais, pesquisar mais, ler mais. Diria que não é sinal de saúde estar bem-adaptado a uma sociedade doente, que o que é normal para uma aranha é o caos para uma mosca. Meninada, sintam-se beijados pela vovó Rita. RITA LEE. Outra autobiografia . São Paulo: Globo Livros, 2023. Como estratégia para se aproximar de seu leitor, a autora usa uma postura de empatia explicitada em;"""Volta e meia recebo cartinhas de fãs, e alguns são bem jovens"".";"""Fico no céu lendo essas coisas"".";"""Sinto que é mais complicado ser jovem hoje"".";"""Queria dar beijinhos e carinhos sem ter fim nessa moçada"".";"""Diria que não é sinal de saúde estar bem-adaptado a uma sociedade doente"".";C;;0.74117
1395;28;"Data venia Conheci Bentinho e Capitu nos meus curiosos e antigos quinze anos. E os olhos de água da jovem de Matacavalos atraíram-me, seduziram-me ao primeiro contato. Aliados ao seu jeito de ser, flor e mistério. Mas tornou-me também a indignação diante do narrador e seu texto, feito de acusações e vilipêndio. Sem qualquer direito de defesa. Sem acesso ao discurso, usurpado, sutilmente, pela palavra autoritária do marido, algoz, em pele de cordeiro vitimado. Crudelíssimo e desumano: não bastasse o que faz com a mulher, chega a desejar a morte do próprio filho e a festejá-la com um jantar, sem qualquer remorso. No fundo, uma pobre consciência dilacerada, um homem dividido, que busca encontrar-se na memória, e acaba faltando-se a si mesmo. Retomei inúmeras vezes a triste história daquele amor em desencanto. Familiarizei-me, ao longo do tempo, com a crítica do texto; poucos, muitos poucos, escapam das bem traçadas linhas do libelo condenatório; no mínimo concedem à ré o beneplácito da dúvida: convertem-na num enigma indecifrável, seu atributo consagrador. Eis que, diante de mais um retorno ao romance, veio a iluminação: por que não dar a voz plena àquela mulher, brasileira do século XIX, que, apesar de todas as artimanhas e do maquiavelismo do companheiro, se converte numa das mais fascinantes criaturas do gênio que foi Machado de Assis? A empresa era temerária, mas escrever é sempre um risco. Apoiado no espaço de liberdade em que habita a Literatura, arrisquei-me. O resultado: este livro em que, além-túmulo, como Brás Cubas, a dona dos olhos de ressaca assume, à luz do mistério da arte literária e do próprio texto do Dr. Bento Santiago, seu discurso e sua verdade. PROENÇA FILHO, D. Capitu: memórias póstumas . Rio de Janeiro: Atrium, 1998. Para apresentar a apropriação literária que faz a obra de Machado de Assis, o autor desse texto";relaciona aspectos centrais da obra original e, então, reafirma o ponto de vista adotado.;explica os pontos de vista de críticos da literatura e, por fim, os redimensiona na discussão.;introduz elementos relevantes da história e, na sequência, apresenta motivos para refutá-los.;justifica as razões pelas quais adotou certa abordagem e, em seguida, reconsidera tal escolha.;contextualiza o enredo de forma subjetiva e, na conclusão, explicita o foco narrativo a ser assumido.;E;;138763,00
1395;29;Meu irmão é filho adotivo. Há uma tecnicidade no termo, filho adotivo, que contribui para sua aceitação social. Há uma novidade que por um átimo o absolve das mazelas do passado, que parece limpá-lo de seus sentidos indesejáveis. Digo que meu irmão é filho adotivo e as pessoas tendem a assentir com solenidade, disfarçando qualquer pesar, baixando os olhos como se não sentissem nenhuma ânsia de perguntar mais nada. Talvez compartilhem da minha inquietude, talvez de fato se esqueçam do assunto no próximo gole ou na próxima garfada. Se a inquietude continua a reverberar em mim, é porque ouço a frase também de maneira parcial — meu irmão é filho — e é difícil aceitar que ela não termine com a verdade tautológica habitual: meu irmão é filho dos meus pais. Estou entoando que meu irmão é filho e uma interrogação sempre me salta aos lábios: filho de quem? FUCKS, J. A resistência. São Paulo: Cia. das Letras, 2015. Das reflexões do narrador, apreende-se uma perspectiva que associa a adoção;a representações sociais estigmatizadas da parentalidade. representações sociais estigmatizadas da parentalidade. inquietações próprias das relações entre irmãos.;à necessidade de aprovação por parte de desconhecidos.;ao julgamento velado de membros do núcleo familiar.;ao conflito entre o termo técnico e o vínculo afetivo.;a inquietações próprias das relações entre irmãos.;A;;138698,00
1395;30;"TEXTO I A 13 de fevereiro de 1946, Graciliano Ramos escreve uma carta a Cândido Portinari relembrando uma visita que lhe fizera quando tivera a ocasião de apreciar algumas telas da série Retirantes. Diz o escritor alagoano: Caríssimo Portinari: A sua carta chegou muito atrasada, e receio que esta resposta já não o ache fixando na tela a nossa pobre gente da roça. Não há trabalho mais digno, penso eu. Dizem que somos pessimistas e exibimos deformações; contudo, as deformações e essa miséria existem fora da arte e são cultivadas pelos que nos censuram. [...] Dos quadros que você me mostrou quando almocei no Cosme Velho pela última vez, o que mais me comoveu foi aquela mãe com a criança morta. Saí de sua casa com um pensamento horrível: numa sociedade sem classes e sem miséria, seria possível fazer-se aquilo? Numa vida tranquila e feliz, que espécie de arte surgiria? Chego a pensar que teríamos cromos, anjinhos cor-de-rosa, e isto me horroriza. Graciliano Disponível em: https://graciliano.com.br . Acesso em: 6 fev. 2024 (adaptado). TEXTO II Histórias de ninar (adultos) Houve um tempo – tão perto, e, ó, tão longe, – em que a arte era um holofote na unha encravada, não um campeonato de melhores esmaltes. Raskolnikov marava velhinhas, a família de Gregor Samsa o assassinava a ""maçãzadas"", Memórias póstumas de Brás Cubas (Machado de Assis) é o retrato mais perfeito de tudo o que tem de pior na sociedade brasileira, uma sequência tristemente hilária de ações moralmente condenáveis, atitudes pusilânimes, cálculos mesquinhos e maus passos cretinos. A literatura, o cinema e o teatro vêm se transformando num exercício de lacração: o mal está sempre no outro, os protagonistas são ironmen/women da virtude. A pessoa sai da leitura ou da sessão não com a guarda abaixada, as certezas abaladas, mais próxima da verdade (ou, à falta de uma palavra melhor, da sinceridade): sai com suas certezas reforçadas. A realidade é confusa. Contraditória. Muitas vezes incompreensível. A arte é onde tentamos nos mostrar nus, com todos os nossos defeitos. PRATA, A. Disponível em: www1.folha.uol.com.br. Acesso em: 12 jan. 2024 (adaptado). No que diz respeito à arte, o posicionamento de Antônio Prata, no Texto II, aproxima-se da tese de Graciliano Ramos, no Texto I, uma vez que ambos";defendem a dignidade do ofício dos artistas.;concluem que a arte reforça crenças pessoais.;apresentam a pobreza como inspiração para a arte.;afirmam o necessário caráter desestabilizador da arte.;atestam que há mudanças significativas na produção artística.;D;;0.99473
1395;31;"Cap. XLVIII / Terpsícore Ao contrário do que ficou dito atrás, Flora não se aborreceu na ilha. Conjeturei mal, emendo-me a tempo. Podia aborrecer-se pelas razões que lá ficam, e ainda outras que poupei ao leitor apressado; mas, em verdade, passou bem a noite. A novidade da festa, a vizinhança do mar, os navios perdidos na sombra, a cidade defronte com os seus lampiões de gás, embaixo e em cima, na praia e nos outeiros, eis aí aspectos novos que a encantaram durante aquelas horas rápidas. Não lhe faltavam pares, nem conversação, nem alegria alheia e própria. Toda ela compartia da felicidade dos outros. Via, ouvia, sorria, esquecia-se do resto para se meter consigo. Também invejava a princesa imperial, que viria a ser imperatriz um dia, com o absoluto poder de despedir ministros e damas, visitas e requerentes, e ficar só, no mais recôndito do paço, fartando-se de contemplação ou de música. Era assim que Flora definia o ofício de governar. Tais ideias passavam e tornavam. De uma vez alguém lhe disse, como para lhe dar força: “Toda alma livre é imperatriz.” ASSIS, M. Esaú e Jacó. Rio de Janeiro: Nova Aguilar, 1974. Convidada para o último baile do Império, na Ilha Fiscal, localizada no Rio de Janeiro, Flora devaneia sobre aspectos daquele contexto, no qual o narrador ironiza a";promessa de esperança com o futuro regime.;alienação da elite em relação ao fim da monarquia.;perspectiva da contemplação distanciada da capital.;animosidade entre população e membros da nobreza.;fantasia de amor e de casamento da mulher burguesa.;B;;206747,00
1395;32;Marília acorda Tomo café em golinhos para não queimar meus lábios ressequidos. Como pão em pedacinhos para não engasgar com um farelo mais duro. Marília come também, mas olha o tempo todo para baixo. Parece que tem um acanhamento novo entre a gente. Termino. Olho mais uma vez pela janela. O dia está bom. Quero caminhar pelo pátio. Marília levanta, pega o andador e põe ao lado da cama. Ela sabe que eu quero levantar sozinha, e levanto. O lance de escadas, apesar de pequeno, ainda me causa problemas, mas não quero um elevador na casa e não vou tolerar descer uma rampa de cadeira de rodas. Marília abre a porta e saímos para a manhã. O dia está mais fresco do que eu imaginava. Ela pega uma manta de tricô que temos desde não sei quando e põe sobre as minhas costas. Ela aperta meus ombros com muita força, porque mesmo depois de todos esses anos, não descobriu a medida certa do carinho. Eu gosto. Porque entendo que naquele ato, naquela força está o nosso carinho. POLESSO, N. B. Amora . Porto Alegre: Não Editora, 2015. Nesse trecho, o drama do declínio físico da narradora transmite uma sensibilidade lírica centrada na;necessidade de fazer adaptações na casa.;atmosfera de afeto fortalecido pelo convívio.;condição de dependência de outras pessoas.;determinação de manter a regularidade da rotina.;aceitação das restrições de mobilidade da personagem.;B;;0.88701
1395;33;"Disponível em: https://defesacivil.rs.gov.br. Acesso em: 11 mar. 2024 (adaptado). Nesse cartaz, a expressão ""Vou deixar que você se vá"", em conjunto com os elementos não verbais utilizados, tem a finalidade de";incentivar o descarte de itens defeituosos.;promover a reciclagem de produtos usados.;garantir a conservação de roupas de inverno.;relacionar o gesto de doação à ideia de desapego.;comparar a peça de roupa ao sentimento de despedida.;D;;-0.78889
1395;34;"Teclado amazônico Em novembro de 2023, uma professora indígena recebeu uma missão: verter as regras de um jogo de tabuleiro infantil do português para o tukano, sua língua nativa. Com vinte anos de experiência como professora de línguas em Taracuá, no Amazonas, ela já se dedicava à tradução havia tempos. O trabalho ficou mais fácil graças a um aplicativo lançado no ano anterior: com o Linklado em seu computador, ela traduziu as sete páginas das instruções do jogo em dois dias. Sem esse recurso, a tarefa seria bem mais trabalhosa. Antes dele, diz a professora, as transcrições de línguas indígenas exigiam o esforço quase manual de produzir diacríticos (acentos gráficos) e letras que não constam no teclado de aplicativos de mensagens ou programas de texto. Para a pesquisadora do Instituto Nacional de Pesquisas da Amazônia (Inpa), idealizadora do aplicativo, o Linklado representa uma revolução. O programa não restringe combinações de acentos, e isso poderá facilitar a criação de representações gráficas para fonemas que ainda não têm forma escrita. ""Eu mirei em uma dor e atingimos várias outras"", diz. ""O Linklado possibilita que o Brasil reconheça a sua diversidade linguística"", afirma uma antropóloga que é colega da pesquisadora no Inpa e faz parte da equipe do aplicativo. Ela defende que escrever na língua materna é uma das principais formas de preservá-la. Disponível em: http://piaui.folha.uol.com.br. Acesso em: 3 fev. 2024 (adaptado). De acordo com esse texto, o aplicativo Linklado contribuiu para a";criação de fonemas representativos de línguas indígenas no meio digital.;democratização do registro escrito de línguas dos povos originários.;adaptação de regras de jogos de tabuleiro de origem indígena.;divulgação das técnicas de tradução de línguas indígenas.;aprendizagem da língua portuguesa pelos indígenas.;B;;123509,00
1395;35;"– Eu lhe juro, Aurélia. Estes lábios nunca tocaram a face de outra mulher, que não fosse minha mãe. Meu primeiro beijo de amor, guardei-o para minha esposa, para ti... [...] – Ou de outra mais rica! – disse ela, retraindo-se para fugir ao beijo do marido, e afastando-o com a ponta dos dedos. A voz da moça tomara o timbre cristalino, eco da rispidez e aspereza do sentimento que lhe sublevava o seio, e que parecia ringir-lhe nos lábios como aço. – Aurélia! Que significa isto? – Representamos uma comédia, na qual ambos desempenhamos o nosso papel com perícia consumada. Podemos ter este orgulho, que os melhores atores não nos excederiam. Mas é tempo de pôr termo a esta cruel mistificação, com que nos estamos escarnecendo mutuamente, senhor. Entremos na realidade por mais triste que ela seja; e resigne-se cada um ao que é, eu, uma mulher traída; o senhor, um homem vendido. – Vendido! – exclamou Seixas ferido dentro d'alma. – Vendido, sim: não tem outro nome. Sou rica, muito rica; sou milionária; precisava de um marido, traste indispensável às mulheres honestas. O senhor estava no mercado; comprei-o. Custou-me cem contos de réis, foi barato; não se fez valer. Eu daria o dobro, o triplo, toda a minha riqueza por este momento. ALENCAR, J. Senhora . Rio de Janeiro: Tecnoprint, 2003. Ao tematizar o casamento, esse fragmento reproduz uma concepção de literatura romântica evidenciada na";defesa da igualdade de gêneros.;importância atribuída à castidade.;indignação com as injustiças sociais.;interferência da riqueza sobre o amor.;valorização das relações interpessoais.;D;;-0.38987
1395;36;TEXTO I Anônimo. Cabeça de uma figura feminina. Circa 2700-2500 a.C. Escultura em mármore, 8 x 3,2 cm. Metropolitan Museum of Art, Nova Iorque. TEXTO II MODIGLIANI, A. Cabeça de mulher. Circa 1910-1911. Escultura em calcário, 68,3 x 15,9 x 24,1 cm. National Gallery of Art, Washington. WOLKOFF, J. These 5,000-Year-Old Sculptures Look Shockingly Similar to Modern Art. Disponível em: www.artsy.net. Acesso em: 19 jun. 2019. A leitura comparativa das duas esculturas, separadas por mais de 2500 anos, indica a;valorização da arte antiga por artistas contemporâneos.;resistência da arte escultórica aos avanços tecnológicos.;simplificação da forma em razão do tipo de material utilizado.;persistência de padrões estéticos em diferentes épocas e culturas.;ausência de detalhes como traço distintivo da arte tradicional popular.;D;;205523,00
1395;37;Se você é feito de música, este texto é pra você Às vezes, no silêncio da noite, eu fico imaginando: que graça teria a vida sem música? Sem ela não há paz, não há beleza. Nos dias de festa e nas madrugadas de pranto, nas trilhas dos filmes e nas corridas no parque, o que seria de nós sem as canções que enfeitam o cotidiano com ritmo e verso? Quem nunca curou uma dor de cotovelo dançando lambada ou terminou de se afundar ouvindo sertanejo sofrência? Quantos já criticaram funk e fecharam a noite descendo até o chão? Tudo bem... Raul nos ensinou que é preferível ser essa metamorfose ambulante do que ter aquela velha opinião formada sobre tudo. Já somos castigados com o peso das tragédias, o barulho das buzinas, os ruídos dos conflitos. É pau, é pedra, é o fim do caminho. Há uma nuvem de lágrimas sobre os olhos, você está na lanterna dos afogados, o coração despedaçado. Mas, como um sopro, da janela do vizinho, entra o samba que reanima a mente. Floresce do fundo do nosso quintal a batida que ressuscita o ânimo, sintoniza a alegria e equaliza o fôlego. Levanta, sacode a poeira, dá a volta por cima. BITTAR, L. Disponível em: www.revistabula.com. Acesso em: 21 nov. 2021 (adaptado). Defendendo a importância da música para o bem-estar e o equilíbrio emocional das pessoas, a autora usa, como recurso persuasivo, a;contradição, ao associar o coração despedaçado à alegria.;metáfora, ao citar a imagem da metamorfose ambulante.;intertextualidade, ao resgatar versos de letras de canções.;enumeração, ao mencionar diferentes ritmos musicais.;"hipérbole, ao falar em ""sofrência"", ""tragédias"" e ""afogados"".";C;;0.63797
1395;38;pessoas com suas malas mochilas e valises chegam e se vão se encontram se despedem e se despem de seus pertences como se pudessem chegar a algum lugar onde elas mesmas não estivessem RUIZ, A. In: SANT'ANNA, A. Rua Aribau: coletânea de poemas . Porto Alegre: TAG, 2018. Esse poema, por meio da ideia de deslocamento, metaforiza a tentativa de pessoas;buscarem novos encontros.;fugirem da própria identidade.;procurarem lugares inexplorados.;partirem em experiências inusitadas.;desaparecerem da vida em sociedade.;B;;0.39677
1395;39;Falar errado é uma arte, Arnesto! No dia 6 de agosto de 1910, Emma Riccini Rubinato pariu um garoto sapeca em Valinhos e deu a ele o nome de João Rubinato. Na escola, João não passou do terceiro ano. Não era a área dele, tinha de escolher outra. Fez o que apareceu. Foi ser garçom, metalúrgico, até virar radialista, comediante, ator de cinema e TV, cantor e compositor. De samba. Como tinha sobrenome italiano, João resolveu mudar para emplacar seu samba. E como ia mudar o sobrenome, mudou o nome. Virou Adoniran Barbosa. O cara falava errado, voz rouca, pinta de malandro da roça. Virou ícone da música brasileira, o mais paulista de todos, falando errado e irritando Vinicius de Moraes, que ficou de bico fechado depois de ouvir a música que Adoniran fez para a letra Bom dia, tristeza , de autoria do Poetinha. Coisa de arrepiar. Para toda essa gente que implicava, Adoniran tinha uma resposta neoerudita: “Gosto de samba e não é fácil, pra mim, ser aceito como compositor, porque ninguém queria nada com as minhas letras que falavam ‘nóis vai’, ‘nóis fumo’, ‘nóis fizemo’, ‘nóis peguemo’. Acontece que é preciso saber falar errado. Falar errado é uma arte, senão vira deboche.” Ele sabia o que fazia. Por isso dizia que falar errado era uma arte. A sua arte. Escolhida a dedo porque casava com seu tipo. O Samba do Arnesto é um monumento à fala errada, assim como Tiro ao Álvaro . O erudito podia resmungar, mas o povo se identificava. PEREIRA, E. Disponível em: www.tribunapr.com.br. Acesso em: 8 jul. 2024 (adaptado). O “falar errado” a que o texto se refere constitui um preconceito em relação ao uso que Adoniran Barbosa fazia da língua em suas composições, pois esse uso;marcava a linguagem dos comediantes no mesmo período.;prejudicava a compreensão das canções pelo público.;denunciava a ausência de estilo nas letras de canção.;restringia a criação poética nas letras do compositor.;transgredia a norma-padrão vigente à época.;E;;0.31786
1395;40;"O festival folclórico de Parintins, no Amazonas, anunciou que o Boi Caprichoso levou, em 2018, seu 23º título — contra 31 do adversário Boi Garantido. Desde o fim do evento que não paro de cantar duas músicas que aprendi no Bumbódromo (arena onde ocorre o espetáculo). Revezo entre “ meu amor, eu sou feliz, ééé azul o meu país ”, obviamente do boi azul, o Caprichoso; e “ vermelhou o curral, a ideologia avermelhou ”, do boi vermelho, o Garantido. Esse revezamento seria proibido em Parintins, cidade tão dividida entre as torcidas dos bois. Em Parintins, você tem de ter um lado. Há aqueles que tentam fugir e dizem que são “garanchoso”, com os quais me identifiquei, mas esses são vistos com certo desdém. DYNEWICZ, L. Disponível em: https://viagem.estadao.com.br . Acesso em: 22 nov. 2018 (adaptado). A apropriação de elementos como rivalidade, competitividade, torcida e gritos de guerra pelo festival de Parintins evidencia a";escolha de um local específico para a festa.;importância atribuída pelos turistas aos bois.;interação social estabelecida após o evento.;aproximação da manifestação folclórica com o esporte.;composição de enredos musicais pelos “garanchosos”.;D;;0.81709
1395;41;O Brasil somou cerca de 60 mil novos casos de câncer de mama até o final de 2019, número que corresponde a 25% de todos os diagnósticos da condição registrados no país, segundo dados do Instituto Nacional do Câncer (Inca). Apesar de o Outubro Rosa ser o mês de conscientização sobre a questão voltada para as mulheres, é muito importante lembrar que um dos grandes mitos da medicina é o de que o câncer de mama não afeta o sexo masculino. Fatores importantes para detectar o câncer de mama masculino: 1. Genética: se houver casos na família, as chances são um pouco mais elevadas. 2. Hormônios: homens podem desenvolver tecido real das glândulas mamárias por tomarem certos medicamentos ou apresentarem níveis hormonais anormais. 3. Caroços: é necessário que os médicos se atentem a alguns sintomas suspeitos, como um caroço na área do tórax. 4. Retração na pele: em situações mais graves do câncer de mama masculino, é possível também ocorrer uma retração do mamilo. Disponível em: https://pebmed.com.br. Acesso em: 24 nov. 2021 (adaptado). As informações dessa reportagem auxiliam no combate ao câncer de mama masculino por apresentarem um alerta sobre o(s);sinais indicadores da doença.;índice de crescimento de casos.;exames para diagnóstico do tumor.;mitos a respeito da herança genética.;período de campanhas de conscientização.;A;;0.03767
